名称,地址,经度,纬度,类别,日营业额
大雁塔商圈门店16,陕西省西安市莲湖区西大街21号,108.982403,34.23238,便利店,28974
大雁塔商圈门店17,陕西省西安市灞桥区锦业路134号,108.955486,34.207218,服装店,45391
大雁塔商圈门店18,陕西省西安市长安区雁塔路154号,108.962132,34.210781,理发店,22220
大雁塔商圈门店19,陕西省西安市碑林区友谊路289号,108.989365,34.207894,便利店,6301
大雁塔商圈门店20,陕西省西安市未央区锦业路179号,108.950147,34.215218,便利店,17509
大雁塔商圈门店21,陕西省西安市高陵区北大街155号,108.959202,34.222283,药店,45269
大雁塔商圈门店22,陕西省西安市雁塔区锦业路69号,108.968143,34.210303,生鲜超市,9064
大雁塔商圈门店23,陕西省西安市未央区太华路145号,108.979206,34.207478,服装店,48529
大雁塔商圈门店24,陕西省西安市新城区东大街251号,108.953915,34.230728,生鲜超市,4829
大雁塔商圈门店25,陕西省西安市新城区科技路2号,108.974537,34.223752,奶茶店,10073
小寨商圈门店1,陕西省西安市临潼区东大街219号,108.949067,34.222248,药店,8831
小寨商圈门店2,陕西省西安市未央区东大街19号,108.964136,34.232435,奶茶店,39675
小寨商圈门店3,陕西省西安市碑林区太华路187号,108.929967,34.219565,药店,24949
小寨商圈门店4,陕西省西安市雁塔区朱雀大街287号,108.944257,34.23034,水果店,42175
小寨商圈门店5,陕西省西安市莲湖区唐延路84号,108.94191,34.200194,餐厅,28520
小寨商圈门店6,陕西省西安市灞桥区太白南路211号,108.961363,34.225533,服装店,18985
小寨商圈门店7,陕西省西安市长安区唐延路20号,108.952075,34.236083,理发店,16077
小寨商圈门店8,陕西省西安市灞桥区太华路117号,108.950371,34.244276,服装店,3050
小寨商圈门店9,陕西省西安市新城区唐延路36号,108.935519,34.214486,生鲜超市,24512
小寨商圈门店10,陕西省西安市高陵区朱雀大街15号,108.93436,34.215156,便利店,18618
小寨商圈门店11,陕西省西安市新城区科技路56号,108.955345,34.246091,水果店,24154
小寨商圈门店12,陕西省西安市鄠邑区东大街60号,108.940601,34.214402,水果店,39287
小寨商圈门店13,陕西省西安市长安区科技路267号,108.943329,34.225802,服装店,25369
小寨商圈门店14,陕西省西安市灞桥区西大街161号,108.915421,34.233203,便利店,48669
小寨商圈门店15,陕西省西安市长安区朱雀大街207号,108.953551,34.216011,生鲜超市,37833
小寨商圈门店16,陕西省西安市长安区南大街90号,108.950735,34.230491,生鲜超市,28112
小寨商圈门店17,陕西省西安市新城区未央路221号,108.941673,34.222915,奶茶店,31973
小寨商圈门店18,陕西省西安市高陵区友谊路87号,108.925184,34.228367,便利店,20098
小寨商圈门店19,陕西省西安市灞桥区长安路121号,108.925091,34.221628,生鲜超市,16222
小寨商圈门店20,陕西省西安市碑林区未央路244号,108.944358,34.217706,便利店,31346
小寨商圈门店21,陕西省西安市莲湖区北大街197号,108.92747,34.230218,理发店,27691
小寨商圈门店22,陕西省西安市碑林区锦业路55号,108.942663,34.2376,水果店,15841
小寨商圈门店23,陕西省西安市高陵区友谊路26号,108.955566,34.245496,服装店,9453
小寨商圈门店24,陕西省西安市高陵区东大街163号,108.921225,34.227858,理发店,41650
小寨商圈门店25,陕西省西安市长安区唐延路281号,108.952056,34.203637,理发店,11930
高新商圈门店1,陕西省西安市莲湖区唐延路142号,108.89446,34.21264,理发店,42574
高新商圈门店2,陕西省西安市新城区未央路140号,108.886872,34.231742,奶茶店,22452
高新商圈门店3,陕西省西安市未央区未央路197号,108.889849,34.218448,餐厅,47795
高新商圈门店4,陕西省西安市灞桥区东大街239号,108.88879,34.231089,水果店,5580
高新商圈门店5,陕西省西安市鄠邑区北大街11号,108.889356,34.231058,水果店,32759
高新商圈门店6,陕西省西安市长安区唐延路215号,108.897166,34.221345,服装店,33496
高新商圈门店7,陕西省西安市碑林区含光路173号,108.888452,34.231503,水果店,48959
高新商圈门店8,陕西省西安市未央区西大街274号,108.892853,34.230663,药店,27322
高新商圈门店9,陕西省西安市雁塔区南大街220号,108.87117,34.21295,餐厅,31757
高新商圈门店10,陕西省西安市灞桥区未央路233号,108.889875,34.22806,奶茶店,23618
高新商圈门店11,陕西省西安市长安区太华路42号,108.886826,34.211261,理发店,2770
高新商圈门店12,陕西省西安市灞桥区未央路36号,108.885976,34.217729,药店,3533
高新商圈门店13,陕西省西安市碑林区西大街79号,108.893604,34.218924,服装店,9772
高新商圈门店14,陕西省西安市莲湖区友谊路132号,108.880167,34.221815,奶茶店,12496
高新商圈门店15,陕西省西安市雁塔区太白南路84号,108.861685,34.2051,生鲜超市,8584
高新商圈门店16,陕西省西安市鄠邑区南大街193号,108.861712,34.21009,水果店,48359
高新商圈门店17,陕西省西安市莲湖区长安路155号,108.891126,34.233692,便利店,38588
高新商圈门店18,陕西省西安市长安区南大街190号,108.888257,34.211958,便利店,34658
高新商圈门店19,陕西省西安市长安区唐延路251号,108.884851,34.219724,便利店,29911
高新商圈门店20,陕西省西安市临潼区北大街79号,108.902536,34.217535,水果店,13043
高新商圈门店21,陕西省西安市新城区西大街276号,108.882835,34.195188,理发店,31965
高新商圈门店22,陕西省西安市新城区朱雀大街126号,108.868125,34.227382,便利店,19779
高新商圈门店23,陕西省西安市临潼区西大街195号,108.892603,34.215938,奶茶店,3380
高新商圈门店24,陕西省西安市临潼区未央路182号,108.875367,34.221317,生鲜超市,23804
高新商圈门店25,陕西省西安市新城区东大街6号,108.883006,34.234233,服装店,7110
高新商圈门店26,陕西省西安市高陵区太白南路124号,108.886665,34.231199,理发店,43829
曲江商圈门店1,陕西省西安市雁塔区太华路114号,108.974739,34.207023,水果店,46836
曲江商圈门店2,陕西省西安市灞桥区友谊路284号,108.996745,34.220755,奶茶店,29385
曲江商圈门店3,陕西省西安市灞桥区北大街233号,109.01117,34.205732,生鲜超市,21594
曲江商圈门店4,陕西省西安市莲湖区朱雀大街62号,108.995946,34.211071,餐厅,14052
曲江商圈门店5,陕西省西安市鄠邑区太白南路269号,108.998895,34.217251,生鲜超市,8088
曲江商圈门店6,陕西省西安市灞桥区雁塔路155号,109.000991,34.198722,药店,47900
曲江商圈门店7,陕西省西安市碑林区东大街150号,108.986611,34.204296,餐厅,43303
曲江商圈门店8,陕西省西安市碑林区西大街146号,109.005446,34.197453,理发店,32873
曲江商圈门店9,陕西省西安市碑林区太华路245号,108.988869,34.208333,便利店,5782
曲江商圈门店10,陕西省西安市碑林区雁塔路77号,108.992179,34.208292,生鲜超市,7082
曲江商圈门店11,陕西省西安市长安区西大街116号,109.002021,34.205808,水果店,31024
曲江商圈门店12,陕西省西安市鄠邑区含光路157号,109.004461,34.201432,药店,41452
曲江商圈门店13,陕西省西安市莲湖区南大街109号,109.001315,34.204866,生鲜超市,44781
曲江商圈门店14,陕西省西安市高陵区长安路81号,109.003756,34.209616,药店,28272
曲江商圈门店15,陕西省西安市新城区科技路119号,108.980665,34.210108,生鲜超市,47831
曲江商圈门店16,陕西省西安市雁塔区南大街120号,108.991146,34.225398,生鲜超市,42463
曲江商圈门店17,陕西省西安市莲湖区含光路59号,108.977696,34.196348,服装店,43943
曲江商圈门店18,陕西省西安市未央区长安路31号,109.001591,34.212328,餐厅,21659
曲江商圈门店19,陕西省西安市新城区友谊路64号,108.977496,34.195514,理发店,46633
曲江商圈门店20,陕西省西安市新城区东大街277号,108.99194,34.215569,理发店,30188
曲江商圈门店21,陕西省西安市长安区北大街166号,108.998995,34.207381,生鲜超市,3195
曲江商圈门店22,陕西省西安市鄠邑区西大街11号,109.021764,34.219878,生鲜超市,39264
曲江商圈门店23,陕西省西安市临潼区东大街227号,109.015523,34.210202,生鲜超市,13394
曲江商圈门店24,陕西省西安市临潼区长安路241号,109.008838,34.205795,奶茶店,28261
曲江商圈门店25,陕西省西安市未央区朱雀大街211号,108.987066,34.218899,理发店,20388
曲江商圈门店26,陕西省西安市高陵区科技路233号,108.989663,34.197373,便利店,22112
经开区商圈门店1,陕西省西安市长安区唐延路264号,108.929868,34.362746,药店,44600
经开区商圈门店2,陕西省西安市碑林区未央路266号,108.953107,34.330853,奶茶店,42304
经开区商圈门店3,陕西省西安市碑林区未央路137号,108.944681,34.324998,餐厅,20376
经开区商圈门店4,陕西省西安市雁塔区科技路123号,108.926811,34.344869,餐厅,21865
经开区商圈门店5,陕西省西安市雁塔区未央路59号,108.929557,34.335019,理发店,9198
经开区商圈门店6,陕西省西安市新城区东大街140号,108.939841,34.334371,水果店,33121
经开区商圈门店7,陕西省西安市高陵区雁塔路197号,108.952901,34.338075,服装店,40780
经开区商圈门店8,陕西省西安市雁塔区太华路213号,108.919355,34.337936,奶茶店,34775
经开区商圈门店9,陕西省西安市新城区唐延路297号,108.943907,34.339713,理发店,11238
经开区商圈门店10,陕西省西安市灞桥区东大街279号,108.930961,34.342793,水果店,31341
经开区商圈门店11,陕西省西安市莲湖区西大街197号,108.966098,34.330734,服装店,28420
经开区商圈门店12,陕西省西安市长安区含光路78号,108.963089,34.343475,理发店,3926
经开区商圈门店13,陕西省西安市灞桥区唐延路52号,108.965832,34.35748,理发店,8034
经开区商圈门店14,陕西省西安市未央区含光路80号,108.930916,34.337206,便利店,32268
经开区商圈门店15,陕西省西安市鄠邑区北大街204号,108.945853,34.331306,便利店,23032
经开区商圈门店16,陕西省西安市长安区朱雀大街250号,108.958251,34.323149,药店,41965
经开区商圈门店17,陕西省西安市新城区未央路47号,108.959406,34.344886,水果店,7951
经开区商圈门店18,陕西省西安市雁塔区友谊路86号,108.945219,34.323432,生鲜超市,3397
经开区商圈门店19,陕西省西安市新城区朱雀大街192号,108.964514,34.344082,水果店,11040
浐灞商圈门店1,陕西省西安市未央区雁塔路90号,109.020793,34.313486,便利店,41443
浐灞商圈门店2,陕西省西安市莲湖区友谊路299号,109.047487,34.305914,餐厅,16716
浐灞商圈门店3,陕西省西安市新城区南大街5号,109.027086,34.31785,理发店,20350
浐灞商圈门店4,陕西省西安市临潼区朱雀大街154号,109.032909,34.310732,水果店,46740
浐灞商圈门店5,陕西省西安市莲湖区含光路248号,109.035986,34.33532,便利店,17045
浐灞商圈门店6,陕西省西安市新城区北大街152号,109.027685,34.322396,药店,44637
浐灞商圈门店7,陕西省西安市碑林区锦业路255号,109.034786,34.316776,生鲜超市,16581
浐灞商圈门店8,陕西省西安市莲湖区西大街129号,109.027252,34.310192,餐厅,42672
浐灞商圈门店9,陕西省西安市碑林区太华路226号,109.049817,34.324056,药店,39482
浐灞商圈门店10,陕西省西安市新城区朱雀大街213号,109.031792,34.319985,餐厅,14659
浐灞商圈门店11,陕西省西安市灞桥区东大街257号,109.04608,34.325192,生鲜超市,12283
浐灞商圈门店12,陕西省西安市临潼区太白南路152号,109.03502,34.334643,奶茶店,9047
浐灞商圈门店13,陕西省西安市莲湖区唐延路204号,109.031345,34.316782,奶茶店,7418
浐灞商圈门店14,陕西省西安市高陵区长安路233号,109.036508,34.31438,奶茶店,45594
浐灞商圈门店15,陕西省西安市长安区唐延路191号,109.035942,34.308202,便利店,45726
浐灞商圈门店16,陕西省西安市高陵区朱雀大街114号,109.036274,34.31824,便利店,43141
浐灞商圈门店17,陕西省西安市新城区南大街210号,109.04777,34.296403,便利店,10660
浐灞商圈门店18,陕西省西安市临潼区长安路50号,109.039172,34.316774,服装店,36728
大唐西市商圈门店1,陕西省西安市高陵区含光路80号,108.897159,34.255201,水果店,44420
大唐西市商圈门店2,陕西省西安市长安区太华路17号,108.917305,34.255757,奶茶店,15738
大唐西市商圈门店3,陕西省西安市灞桥区长安路189号,108.878415,34.257541,奶茶店,5468
大唐西市商圈门店4,陕西省西安市雁塔区唐延路233号,108.899755,34.252875,便利店,44935
大唐西市商圈门店5,陕西省西安市碑林区科技路171号,108.910043,34.262882,服装店,9752
大唐西市商圈门店6,陕西省西安市高陵区未央路111号,108.907873,34.242405,服装店,23032
大唐西市商圈门店7,陕西省西安市鄠邑区科技路142号,108.909227,34.231576,餐厅,10019
大唐西市商圈门店8,陕西省西安市雁塔区南大街14号,108.885202,34.244525,餐厅,2473
大唐西市商圈门店9,陕西省西安市鄠邑区朱雀大街9号,108.892699,34.262704,餐厅,18891
大唐西市商圈门店10,陕西省西安市高陵区长安路33号,108.924685,34.25432,理发店,30878
大唐西市商圈门店11,陕西省西安市雁塔区友谊路258号,108.908522,34.237186,服装店,41811
大唐西市商圈门店12,陕西省西安市高陵区太华路235号,108.92621,34.253706,药店,5486
大唐西市商圈门店13,陕西省西安市长安区南大街56号,108.929263,34.248828,理发店,48187
大唐西市商圈门店14,陕西省西安市雁塔区朱雀大街76号,108.909954,34.2469,便利店,9770
大唐西市商圈门店15,陕西省西安市高陵区北大街167号,108.90334,34.262986,水果店,40650
大唐西市商圈门店16,陕西省西安市鄠邑区含光路51号,108.893047,34.246902,便利店,44407
大唐西市商圈门店17,陕西省西安市莲湖区含光路232号,108.894022,34.235093,服装店,28619
龙首原商圈门店1,陕西省西安市雁塔区朱雀大街219号,108.952658,34.284083,奶茶店,45088
龙首原商圈门店2,陕西省西安市临潼区长安路47号,108.946087,34.317769,便利店,7609
龙首原商圈门店3,陕西省西安市灞桥区太白南路67号,108.928962,34.299858,药店,39934
龙首原商圈门店4,陕西省西安市雁塔区含光路182号,108.961844,34.289543,水果店,48755
龙首原商圈门店5,陕西省西安市新城区朱雀大街54号,108.956371,34.295616,服装店,11640
龙首原商圈门店6,陕西省西安市雁塔区朱雀大街285号,108.942271,34.287063,奶茶店,9029
龙首原商圈门店7,陕西省西安市长安区唐延路288号,108.948241,34.279975,药店,41411
龙首原商圈门店8,陕西省西安市新城区科技路93号,108.967366,34.284894,生鲜超市,47552
龙首原商圈门店9,陕西省西安市灞桥区科技路93号,108.949109,34.270507,餐厅,38614
龙首原商圈门店10,陕西省西安市碑林区长安路272号,108.944494,34.289828,服装店,26154
龙首原商圈门店11,陕西省西安市灞桥区太华路167号,108.937404,34.297407,便利店,4947
龙首原商圈门店12,陕西省西安市碑林区南大街42号,108.958243,34.306895,生鲜超市,30539
龙首原商圈门店13,陕西省西安市临潼区含光路140号,108.939728,34.283189,服装店,35077
龙首原商圈门店14,陕西省西安市新城区南大街250号,108.956605,34.299952,生鲜超市,4476
龙首原商圈门店15,陕西省西安市碑林区科技路105号,108.953378,34.321363,生鲜超市,15343
龙首原商圈门店16,陕西省西安市新城区朱雀大街62号,108.949219,34.276103,药店,34096
龙首原商圈门店17,陕西省西安市长安区东大街118号,108.94686,34.286785,奶茶店,6223
龙首原商圈门店18,陕西省西安市长安区科技路236号,108.931235,34.302919,便利店,22016
龙首原商圈门店19,陕西省西安市长安区太华路59号,108.933078,34.287019,水果店,2866
龙首原商圈门店20,陕西省西安市鄠邑区友谊路186号,108.954204,34.291705,便利店,30120
长安大学城商圈门店1,陕西省西安市长安区东大街41号,108.9301,34.164602,水果店,21834
长安大学城商圈门店2,陕西省西安市未央区长安路262号,108.919776,34.150925,便利店,36273
长安大学城商圈门店3,陕西省西安市灞桥区朱雀大街76号,108.89396,34.156641,服装店,8237
长安大学城商圈门店4,陕西省西安市鄠邑区雁塔路39号,108.924819,34.163275,餐厅,42653
长安大学城商圈门店5,陕西省西安市鄠邑区友谊路290号,108.899904,34.158619,奶茶店,42605
长安大学城商圈门店6,陕西省西安市临潼区友谊路156号,108.914785,34.167849,生鲜超市,40259
长安大学城商圈门店7,陕西省西安市新城区友谊路232号,108.933399,34.162113,药店,5228
长安大学城商圈门店8,陕西省西安市雁塔区西大街260号,108.9133,34.164041,水果店,31824
长安大学城商圈门店9,陕西省西安市碑林区友谊路293号,108.893913,34.15,服装店,22571
长安大学城商圈门店10,陕西省西安市碑林区友谊路53号,108.908814,34.150769,奶茶店,48313
长安大学城商圈门店11,陕西省西安市碑林区未央路225号,108.934925,34.165285,理发店,35845
长安大学城商圈门店12,陕西省西安市灞桥区锦业路145号,108.913016,34.157162,水果店,28289
长安大学城商圈门店13,陕西省西安市碑林区太白南路172号,108.922769,34.15,便利店,23106
长安大学城商圈门店14,陕西省西安市新城区太华路77号,108.934981,34.166428,奶茶店,6841
长安大学城商圈门店15,陕西省西安市灞桥区太华路201号,108.914249,34.155257,餐厅,40496
长安大学城商圈门店16,陕西省西安市高陵区含光路169号,108.918709,34.153932,餐厅,45416
长安大学城商圈门店17,陕西省西安市高陵区长安路217号,108.911502,34.15,奶茶店,2694
长安大学城商圈门店18,陕西省西安市莲湖区朱雀大街249号,108.915083,34.162792,服装店,16346
长安大学城商圈门店19,陕西省西安市新城区唐延路52号,108.926963,34.157999,药店,44880
长安大学城商圈门店20,陕西省西安市未央区西大街193号,108.90939,34.17258,餐厅,12133
长安大学城商圈门店21,陕西省西安市鄠邑区太白南路85号,108.927762,34.171937,理发店,4363
长安大学城商圈门店22,陕西省西安市莲湖区友谊路146号,108.904729,34.16598,理发店,16835
长安大学城商圈门店23,陕西省西安市临潼区锦业路100号,108.909908,34.156175,奶茶店,45953
长安大学城商圈门店24,陕西省西安市临潼区太白南路145号,108.952733,34.15,水果店,34458
长安大学城商圈门店25,陕西省西安市莲湖区太白南路71号,108.889221,34.15353,生鲜超市,4919
长安大学城商圈门店26,陕西省西安市高陵区锦业路53号,108.904567,34.15,便利店,20181
长安大学城商圈门店27,陕西省西安市临潼区锦业路263号,108.926131,34.160973,餐厅,30170
长安大学城商圈门店28,陕西省西安市临潼区锦业路179号,108.942107,34.169972,药店,28690
偏远门店1,陕西省西安市莲湖区含光路42号,108.81864,34.300602,奶茶店,8157
偏远门店2,陕西省西安市灞桥区太白南路75号,108.809866,34.429248,餐厅,2055
偏远门店3,陕西省西安市未央区太白南路362号,108.900408,34.398928,理发店,15499
偏远门店4,陕西省西安市碑林区太华路111号,109.015372,34.421757,餐厅,18783
偏远门店5,陕西省西安市长安区长安路398号,109.129079,34.332664,生鲜超市,8586
偏远门店6,陕西省西安市长安区南大街407号,108.905403,34.164325,理发店,2858
偏远门店7,陕西省西安市鄠邑区东大街9号,108.8388,34.421544,服装店,5504
偏远门店8,陕西省西安市灞桥区未央路293号,108.901945,34.150469,水果店,6937
偏远门店9,陕西省西安市灞桥区长安路489号,109.03253,34.175684,药店,13594
偏远门店10,陕西省西安市长安区朱雀大街130号,109.105666,34.16306,药店,12501
偏远门店11,陕西省西安市雁塔区太白南路298号,109.075982,34.253441,奶茶店,5171
偏远门店12,陕西省西安市未央区唐延路399号,108.815517,34.313804,理发店,16480
偏远门店13,陕西省西安市雁塔区北大街398号,109.021108,34.393449,理发店,2011
偏远门店14,陕西省西安市莲湖区锦业路22号,108.902705,34.163142,奶茶店,10960
偏远门店15,陕西省西安市高陵区友谊路130号,108.980384,34.446737,药店,7062
偏远门店16,陕西省西安市碑林区唐延路336号,108.900139,34.408642,奶茶店,9752
偏远门店17,陕西省西安市长安区北大街226号,108.843566,34.260406,水果店,11909
偏远门店18,陕西省西安市临潼区朱雀大街474号,109.140803,34.298861,生鲜超市,3507
偏远门店19,陕西省西安市鄠邑区唐延路93号,109.054478,34.173678,生鲜超市,11325
偏远门店20,陕西省西安市新城区太华路229号,108.835909,34.248376,水果店,6260
